timestamp,x1,y1,tx1,ty1,action
1,5,5,3,6,d
2,5,5,3,6,d
3,5,5,3,6,l
4,5,5,3,6,d
5,5,5,3,6,l
6,5,5,3,6,l
7,5,5,3,6,u
8,5,5,3,6,l
9,5,5,3,6,d
10,5,5,3,6,d
11,5,5,3,6,d
12,5,5,3,6,l
13,5,5,3,6,l
14,5,5,3,6,d
0,5,5,3,7,d
1,5,5,3,7,l
2,5,5,3,7,d
3,5,5,3,7,d
4,5,5,3,7,l
5,5,5,3,7,l
6,5,5,3,7,d
7,5,5,3,7,u
8,5,5,3,7,d
9,5,5,3,7,u
10,5,5,3,7,l
11,5,5,3,7,l
12,5,5,3,7,l
13,5,5,3,7,l
14,5,5,3,7,r
0,5,5,4,0,u
1,5,5,4,0,u
2,5,5,4,0,u
3,5,5,4,0,d
4,5,5,4,0,u
5,5,5,4,0,l
6,5,5,4,0,u
7,5,5,4,0,u
8,5,5,4,0,l
9,5,5,4,0,l
10,5,5,4,0,u
11,5,5,4,0,u
12,5,5,4,0,u
13,5,5,4,0,u
14,5,5,4,0,l
0,5,5,4,1,d
1,5,5,4,1,l
2,5,5,4,1,l
3,5,5,4,1,l
4,5,5,4,1,u
5,5,5,4,1,r
6,5,5,4,1,u
7,5,5,4,1,l
8,5,5,4,1,d
9,5,5,4,1,l
10,5,5,4,1,l
11,5,5,4,1,u
12,5,5,4,1,l
13,5,5,4,1,u
14,5,5,4,1,d
0,5,5,4,2,l
1,5,5,4,2,u
2,5,5,4,2,l
3,5,5,4,2,l
4,5,5,4,2,l
5,5,5,4,2,u
6,5,5,4,2,l
7,5,5,4,2,u
8,5,5,4,2,l
9,5,5,4,2,d
10,5,5,4,2,l
11,5,5,4,2,l
12,5,5,4,2,l
13,5,5,4,2,u
14,5,5,4,2,l
0,5,5,4,3,l
1,5,5,4,3,u
2,5,5,4,3,l
3,5,5,4,3,l
4,5,5,4,3,r
5,5,5,4,3,l
6,5,5,4,3,u
7,5,5,4,3,d
8,5,5,4,3,l
9,5,5,4,3,u
10,5,5,4,3,l
11,5,5,4,3,u
